clock	watch	temp_set	pres_set	temp_act	pres_act
20200712 151605	26.274677991867065	13.0	0.0	13.52	0.0
20200712 151636	57.36048412322998	13.0	50.0	13.86	50.0
20200712 151657	78.79926013946533	13.0	100.0	14.11	100.0
20200712 151719	100.21872091293335	13.0	150.0	14.34	150.0
20200712 151740	121.53238296508789	13.0	200.0	14.52	200.0
20200712 151801	141.9149169921875	13.0	250.0	14.72	250.0
20200712 151821	162.27768206596375	13.0	300.0	14.87	300.0
20200712 151841	182.6803388595581	13.0	350.0	15.01	350.0
20200712 151902	202.96221804618835	13.0	400.0	15.13	400.0
20200712 151922	223.3176748752594	13.0	450.0	15.23	450.0
20200712 151942	243.65266609191895	13.0	500.0	15.34	500.0
20200712 152010	270.88148188591003	15.5	500.0	15.39	500.0
20200712 152030	291.1487970352173	15.5	450.0	15.41	450.0
20200712 152050	311.5204219818115	15.5	400.0	15.43	400.0
20200712 152111	331.92119908332825	15.5	350.0	15.42	350.0
20200712 152131	352.2867388725281	15.5	300.0	15.42	300.0
20200712 152151	372.6821401119232	15.5	250.0	15.41	250.0
20200712 152213	394.07720017433167	15.5	200.0	15.39	200.0
20200712 152234	415.5158140659332	15.5	150.0	15.37	150.0
20200712 152256	436.93447709083557	15.5	100.0	15.34	100.0
20200712 152317	458.38585901260376	15.5	50.0	15.33	50.0
20200712 152342	483.0578510761261	15.5	0.0	15.3	0.0
20200712 152901	802.0501470565796	18.0	0.0	17.29	0.0
20200712 152931	832.0783250331879	18.0	50.0	17.7	50.0
20200712 152952	853.4709942340851	18.0	100.0	18.03	100.0
20200712 153014	874.8756988048553	18.0	150.0	18.37	150.0
20200712 153035	896.3111619949341	18.0	200.0	18.69	200.0
20200712 153055	916.6665940284729	18.0	250.0	18.99	250.0
20200712 153116	937.0334918498993	18.0	300.0	19.28	300.0
20200712 153136	957.4002470970154	18.0	350.0	19.55	350.0
20200712 153156	977.7494671344757	18.0	400.0	19.8	400.0
20200712 153217	998.0330300331116	18.0	450.0	20.01	450.0
20200712 153237	1018.3882701396942	18.0	500.0	20.2	500.0
20200712 153304	1045.6016030311584	20.5	500.0	20.4	500.0
20200712 153325	1065.9533030986786	20.5	450.0	20.53	450.0
20200712 153345	1086.2220981121063	20.5	400.0	20.63	400.0
20200712 153405	1106.509178161621	20.5	350.0	20.71	350.0
20200712 153426	1126.877562046051	20.5	300.0	20.76	300.0
20200712 153446	1147.2599000930786	20.5	250.0	20.79	250.0
20200712 153506	1167.5964620113373	20.5	200.0	20.88	200.0
20200712 153528	1189.0476830005646	20.5	150.0	20.9	150.0
20200712 153549	1210.4114940166473	20.5	100.0	20.88	100.0
20200712 153610	1231.826908826828	20.5	50.0	20.84	50.0
20200712 153634	1255.4266338348389	20.5	0.0	20.79	0.0
20200712 154229	1610.3006539344788	23.0	0.0	22.24	0.0
20200712 154258	1639.132521867752	23.0	50.0	22.6	50.0
20200712 154319	1660.5875220298767	23.0	100.0	22.88	100.0
20200712 154341	1682.026076078415	23.0	150.0	23.14	150.0
20200712 154402	1703.4772069454193	23.0	200.0	23.41	200.0
20200712 154422	1723.7626249790192	23.0	250.0	23.67	250.0
20200712 154443	1744.1131150722504	23.0	300.0	23.92	300.0
20200712 154503	1764.4529941082	23.0	350.0	24.15	350.0
20200712 154523	1784.8198871612549	23.0	400.0	24.35	400.0
20200712 154544	1805.168576002121	23.0	450.0	24.56	450.0
20200712 154604	1825.5321829319	23.0	500.0	24.69	500.0
20200712 154631	1852.733127117157	25.5	500.0	24.89	500.0
20200712 154652	1873.0976569652557	25.5	450.0	25.0	450.0
20200712 154712	1893.4691598415375	25.5	400.0	25.1	400.0
20200712 154732	1913.8163619041443	25.5	350.0	25.2	350.0
20200712 154753	1934.0904440879822	25.5	300.0	25.27	300.0
20200712 154813	1954.4407951831818	25.5	250.0	25.37	250.0
20200712 154835	1975.8781139850616	25.5	200.0	25.48	200.0
20200712 154856	1997.3184099197388	25.5	150.0	25.6	150.0
20200712 154917	2018.6745660305023	25.5	100.0	25.7	100.0
20200712 154939	2040.0646760463715	25.5	50.0	25.84	50.0
20200712 155002	2063.668576002121	25.5	0.0	25.98	0.0
